id,text,intent,category,response,confidence,created_at,updated_at,source
manual_2025-09-29T16:33:58.752413_0,,,Inicio,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_1,,,Inicio,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_2,,,Inicio,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_3,,,Inicio,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_4,,,Inicio,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_5,,,Inicio,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_6,,,Inicio,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_7,,,Inicio,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_8,,,Inicio,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_9,,,Inicio,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_10,,,Inicio,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_11,,,Inicio,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_12,,,Inicio,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_13,,,Inicio,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_14,,,Inicio,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_15,,,Autenticación,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_16,,,Autenticación,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_17,,,Autenticación,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_18,,,Autenticación,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_19,,,Autenticación,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_20,,,Autenticación,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_21,,,Autenticación,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_22,,,Autenticación,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
