input,output,category,confidence
hola,¡Hola! Soy tu asistente de la plataforma educativa de matemáticas con gestos. ¿Te gustaría conocer cómo funciona nuestra cámara para reconocer números con las manos?,greeting,
buenos días,"¡Buenos días! Bienvenido a nuestra plataforma de aprendizaje matemático interactivo. Tenemos aritmética, álgebra, geometría y más, todo con reconocimiento de gestos.",greeting,
buenas tardes,¡Buenas tardes! Esta plataforma te enseña matemáticas usando tu cámara para reconocer gestos de manos. ¿Prefieres empezar con sumas básicas o algo más avanzado?,greeting,
hey,¡Hey! Estás en la plataforma educativa más innovadora. Aquí aprendes matemáticas moviendo las manos frente a la cámara. ¿Quieres probar el entrenamiento de gestos?,greeting,
saludos,¡Saludos! Soy el chatbot de esta plataforma educativa especializada en matemáticas con reconocimiento de gestos. ¿Te interesa saber cómo entrenar números con tus manos?,greeting,
qué tal,¡Hola! Esta plataforma combina inteligencia artificial con educación matemática. Usas gestos de manos para resolver operaciones. ¿Empezamos con el tutorial?,greeting,
buenas,¡Buenas! Bienvenido a la plataforma donde las matemáticas se aprenden con gestos. Tu cámara reconoce números del 0 al 9 con las manos. ¿Quieres ver cómo funciona?,greeting,
hola bot,"¡Hola! Soy el asistente de esta plataforma educativa única. Aquí no usas calculadora, ¡usas tus manos! La cámara reconoce tus gestos y resuelve operaciones matemáticas.",greeting,
empezar,"¡Perfecto! Para empezar, puedes ir al panel principal (/dashboard), entrenar gestos (/arithmetic) o explorar nuestros cursos. ¿Qué te interesa más?",greeting,
comenzar,"¡Excelente! Esta plataforma tiene todo lo que necesitas: entrenamiento de gestos, cursos interactivos, seguimiento de progreso y más. ¿Por dónde quieres comenzar?",greeting,
qué es esta plataforma,Esta es una plataforma educativa revolucionaria que enseña matemáticas usando reconocimiento de gestos con tu cámara. Muestras números con las manos y la IA los reconoce para resolver operaciones. Visita la página de inicio (/) para conocer más detalles.,landing_page,
qué puedo hacer aquí,"Aquí puedes: entrenar gestos de números (0-9), resolver operaciones matemáticas con las manos, tomar cursos interactivos, ver tu progreso, y experimentar con inteligencia artificial educativa. Todo desde la comodidad de tu navegador.",landing_page,
explícame de qué trata,"Se trata de una plataforma innovadora que combina matemáticas con tecnología de reconocimiento de gestos. En lugar de usar calculadora, muestras números con tus dedos y la cámara los reconoce. Es ideal para hacer las matemáticas más divertidas y accesibles.",landing_page,
muéstrame la portada,"La portada está en la página de inicio (/) donde encontrarás la presentación completa de la plataforma, sus beneficios, testimonios de usuarios y cómo empezar tu experiencia de aprendizaje interactivo.",landing_page,
quiero empezar,"¡Perfecto! Para empezar: 1) Ve a la página de inicio (/), 2) Regístrate en /auth, 3) Accede a tu panel (/dashboard), 4) Comienza entrenando gestos en /arithmetic. ¡Es muy fácil!",landing_page,
enséñame la página principal,"La página principal (/) te muestra todo lo que puedes hacer: entrenar gestos, tomar cursos, ver progreso y más. Es tu punto de partida perfecto para descubrir todas las funcionalidades de la plataforma.",landing_page,
cuál es el propósito de esta aplicación,"El propósito es revolucionar la educación matemática haciéndola visual, interactiva y divertida. Usamos inteligencia artificial para reconocer gestos de manos y convertir el aprendizaje en una experiencia inmersiva y práctica.",landing_page,
qué me ofrece este sistema,"Te ofrece: aprendizaje visual de matemáticas, reconocimiento de gestos en tiempo real, cursos estructurados, seguimiento de progreso personalizado, experiencia sin calculadora, y una forma innovadora de entender los números.",landing_page,
cuál es la página de inicio,"La página de inicio es (/) donde encontrarás la bienvenida, presentación de la plataforma, beneficios, cómo funciona, testimonios y acceso directo a registro y login para comenzar tu experiencia.",landing_page,
quiero ver la bienvenida,"La bienvenida completa está en la página de inicio (/) con una presentación visual de cómo funciona la plataforma, sus beneficios únicos y guías paso a paso para nuevos usuarios.",landing_page,
dime los beneficios,"Los beneficios son: aprendizaje visual e interactivo, no necesitas calculadora, desarrollas coordinación mano-ojo, las matemáticas se vuelven divertidas, tienes seguimiento de progreso, experimentas con IA, y aprendes a tu ritmo.",landing_page,
por qué debería usar esto,"Deberías usarlo porque transforma las matemáticas de aburridas a emocionantes, te permite aprender con gestos naturales, desarrolla habilidades tecnológicas, es accesible desde cualquier dispositivo, y hace el aprendizaje más memorable.",landing_page,
cómo funciona esto,"Funciona así: 1) Activas tu cámara, 2) Muestras números con los dedos (0-9), 3) La IA reconoce tus gestos automáticamente, 4) Resuelves operaciones matemáticas, 5) Recibes feedback inmediato. ¡Todo en tiempo real!",landing_page,
qué me enseña esta aplicación,"Te enseña matemáticas de forma revolucionaria: aritmética básica, operaciones con gestos, reconocimiento de patrones, coordinación visual-motora, y cómo la tecnología puede mejorar el aprendizaje tradicional.",landing_page,
dame una presentación general,"Esta es una plataforma educativa única que combina matemáticas con inteligencia artificial. Usas gestos de manos para representar números, la cámara los reconoce, y puedes resolver operaciones de forma visual e interactiva. Incluye cursos, progreso personalizado y herramientas avanzadas.",landing_page,
qué es esto,"Esta es una plataforma educativa revolucionaria que enseña matemáticas usando reconocimiento de gestos con tu cámara. Muestras números con las manos y la IA los reconoce para resolver operaciones. Es perfecta para estudiantes, docentes y cualquiera que quiera aprender de forma interactiva.",platform_info,
para qué sirve,"Sirve para aprender y practicar matemáticas de forma interactiva usando gestos de manos. Es perfecta para estudiantes que quieren una experiencia visual, docentes que buscan herramientas innovadoras, y padres que quieren ayudar a sus hijos con las matemáticas.",platform_info,
qué contiene,"Contiene: entrenamiento de gestos para números 0-9, operaciones matemáticas (suma, resta, multiplicación), cursos estructurados, panel de progreso, modelos de IA guardados, y herramientas de administración. Todo optimizado para móvil y escritorio.",platform_info,
para quién es,"Es para estudiantes de todas las edades, docentes innovadores, padres que quieren ayudar con las tareas, y cualquier persona curiosa por experimentar con tecnología educativa y reconocimiento de gestos.",platform_info,
características,"Las características principales son: reconocimiento de gestos en tiempo real, cursos interactivos, entrenamiento personalizado, interfaz moderna y responsive, seguimiento de progreso, múltiples niveles de dificultad, y integración con cámara web.",platform_info,
necesito iniciar sesión,"Para iniciar sesión dirígete a /auth donde encontrarás el formulario de login. Ingresa tu email y contraseña, o usa nuestras opciones de autenticación avanzada si las tienes configuradas.",authentication,
entrar a mi cuenta,"Para entrar a tu cuenta ve a /auth, ingresa tus credenciales en el formulario de inicio de sesión, y accederás directamente a tu panel personalizado con todo tu progreso guardado.",authentication,
no sé cómo acceder,"¡Te ayudo! Para acceder: 1) Ve a /auth, 2) Si tienes cuenta, usa 'Iniciar Sesión', 3) Si no tienes cuenta, selecciona 'Registrarse', 4) Completa el formulario y listo.",authentication,
dónde me registro,"El registro está en la sección de autenticación (/auth). Ahí encontrarás el formulario para crear tu cuenta nueva con email, contraseña y datos básicos. Es muy rápido y sencillo.",authentication,
cómo puedo crear una cuenta,"Para crear una cuenta: 1) Ve a /auth, 2) Selecciona 'Registrarse', 3) Completa el formulario con email y contraseña, 4) Confirma tu registro, 5) ¡Ya puedes empezar a aprender!",authentication,
haz que inicie sesión,"Te dirijo al inicio de sesión: ve a /auth, ingresa tu email y contraseña en el formulario correspondiente, y accederás a tu panel personalizado con todos tus cursos y progreso.",authentication,
quiero loguearme,Para loguearte ve a /auth donde está el formulario de inicio de sesión. Ingresa tus credenciales y accederás inmediatamente a tu espacio personal de aprendizaje.,authentication,
dónde está el login,El login está en la sección de autenticación (/auth). Es la página principal para iniciar sesión donde ingresas tu email y contraseña para acceder a tu cuenta.,authentication,
