input,output,category,redirect
¿Cuál es la función principal de esta plataforma?,"Esta es una plataforma educativa que enseña y practica operaciones matemáticas usando gestos de las manos y la cámara del dispositivo. Puedes aprender con cursos, entrenar gestos de manos y resolver ejercicios de forma interactiva. ¿Te gustaría que te lleve a la página principal para conocer más?",inicio_presentacion,/
Resúmeme de qué se trata,"Se trata de una plataforma educativa innovadora donde puedes aprender matemáticas de forma interactiva usando gestos de tus manos. La cámara reconoce tus movimientos para resolver operaciones. Está pensada para estudiantes, docentes y cualquier persona curiosa por la tecnología educativa. ¿Quieres ver la presentación completa?",inicio_presentacion,/
¿Qué experiencia me ofrece este sitio?,"Te ofrece una experiencia de aprendizaje única donde combinas matemáticas con tecnología de reconocimiento de gestos. Puedes entrenar señas con tus manos, resolver ejercicios usando la cámara, seguir cursos guiados y ver tu progreso. Todo con un diseño moderno que funciona en móvil y escritorio. ¿Te interesa empezar?",inicio_presentacion,/
Dame una explicación breve del sistema,"Es un sistema educativo que usa tu cámara para reconocer gestos de manos y enseñarte matemáticas de forma interactiva. Puedes entrenar números y operaciones con tus dedos, luego usarlos para resolver ejercicios. Incluye cursos, seguimiento de progreso y una experiencia visual moderna.",inicio_presentacion,/
¿Por qué se creó esta aplicación?,"Se creó para hacer el aprendizaje de matemáticas más interactivo y divertido, combinando tecnología de reconocimiento de gestos con educación. Está pensada para estudiantes que quieren una forma innovadora de practicar, docentes que buscan herramientas lúdicas, y personas curiosas por experimentar con reconocimiento de manos.",inicio_presentacion,/
Necesito abrir mi cuenta,"Perfecto, puedes crear tu cuenta o iniciar sesión desde la sección de autenticación. El sistema incluye opciones de registro sencillo y también reconocimiento facial como alternativa si está habilitado. ¿Te llevo al área de acceso?",autenticacion,/auth
¿Dónde puedo darme de alta?,Puedes registrarte en la sección de autenticación. Ahí encontrarás las opciones para crear una cuenta nueva con tus datos básicos. El proceso es sencillo y rápido. ¿Quieres que te dirija allí ahora?,autenticacion,/auth
¿Cómo ingreso mis datos de acceso?,En la sección de autenticación puedes ingresar tu correo y contraseña para acceder a tu cuenta. También hay opciones de reconocimiento facial si está configurado. El sistema es seguro y fácil de usar. ¿Te llevo a la pantalla de acceso?,autenticacion,/auth
Quiero validar mis credenciales,"Para validar tus credenciales, ve a la sección de autenticación donde puedes iniciar sesión con tu correo y contraseña. El sistema verificará tu identidad de forma segura. ¿Te dirijo al área de acceso?",autenticacion,/auth
¿Puedo autenticarme con cámara?,"Sí, el sistema incluye reconocimiento facial como opción de autenticación si está habilitado en la configuración. Esta función te permite acceder usando tu cámara para mayor comodidad. ¿Quieres probar esta opción en la sección de acceso?",autenticacion,/auth
Muéstrame mi área personal,"Tu área personal es el panel principal donde puedes ver tu progreso, acceder a cursos, revisar actividades recomendadas y gestionar tu aprendizaje. Es tu centro de control con tarjetas de métricas y accesos rápidos. ¿Te llevo a tu panel?",panel_dashboard,/dashboard
Quiero acceder a mi panel de progreso,"En tu panel de progreso puedes ver todas tus métricas de aprendizaje, cursos en curso, actividades completadas y recomendaciones personalizadas. Es tu vista principal para gestionar tu experiencia educativa. ¿Vamos a tu panel?",panel_dashboard,/dashboard
¿Dónde veo mis logros?,"Tus logros y avances los puedes ver en tu panel principal. Ahí se muestran tus métricas de progreso, cursos completados y actividades destacadas. Es tu centro de seguimiento personal. ¿Te dirijo a tu panel de logros?",panel_dashboard,/dashboard
Ver mi progreso diario,"Tu progreso diario se muestra en el panel principal con métricas actualizadas, actividades del día y seguimiento de tu aprendizaje. Puedes ver cuánto has practicado y qué has logrado. ¿Quieres revisar tu progreso ahora?",panel_dashboard,/dashboard
Quiero probar la sección de aritmética,"¡Excelente! En la sección de aritmética puedes usar tu cámara para entrenar y reconocer gestos de manos. Puedes practicar números, operaciones y resolver ejercicios usando tus dedos. La cámara detecta tus movimientos en tiempo real. ¿Te llevo a practicar?",aritmetica_gestos,/arithmetic
Empezar a hacer cuentas con gestos,"Perfecto, en la sección de aritmética puedes hacer cuentas usando gestos de tus manos. La cámara reconoce números y operaciones que hagas con los dedos. Puedes entrenar nuevos gestos y luego usarlos para resolver ejercicios. ¿Empezamos a practicar?",aritmetica_gestos,/arithmetic
Abrir práctica con cámara,"La práctica con cámara está en la sección de aritmética. Ahí puedes entrenar gestos, probar el reconocimiento en tiempo real y resolver operaciones usando tus manos. Asegúrate de tener buena iluminación y permisos de cámara. ¿Vamos a practicar?",aritmetica_gestos,/arithmetic
Iniciar reconocimiento de manos,El reconocimiento de manos funciona en la sección de aritmética. La cámara detecta tus gestos y los interpreta como números u operaciones. Puedes entrenar nuevos gestos y probar su precisión. ¿Te llevo a iniciar el reconocimiento?,aritmetica_gestos,/arithmetic
Quiero probar mi gesto de número 5,"Puedes probar tu gesto del número 5 en la sección de aritmética. Ahí la cámara reconocerá tu seña y te mostrará la confianza del reconocimiento. Si necesitas mejorarlo, también puedes entrenarlo nuevamente. ¿Vamos a probarlo?",aritmetica_gestos,/arithmetic
Practicar matemáticas usando mis manos,"¡Genial! Puedes practicar matemáticas con tus manos en la sección de aritmética. Usa gestos para representar números y operaciones, la cámara los reconocerá y podrás resolver ejercicios de forma interactiva. ¿Te llevo a practicar ahora?",aritmetica_gestos,/arithmetic
Abrir mis configuraciones de gestos,"Tus configuraciones y gestos guardados están en la sección de modelos. Ahí puedes ver todos los gestos que has entrenado, revisarlos, actualizarlos o eliminar los que no necesites. ¿Quieres revisar tus modelos guardados?",modelos_guardados,/models
Consultar modelos ya creados,Puedes consultar todos tus modelos y gestos entrenados en la sección de modelos. Ahí tienes tu librería personal de señas y configuraciones guardadas. ¿Te llevo a revisar tus modelos?,modelos_guardados,/models
¿Dónde están mis registros entrenados?,Tus registros y gestos entrenados están almacenados en la sección de modelos. Es tu colección personal donde puedes gestionar todos los entrenamientos que has realizado. ¿Quieres ver tus registros guardados?,modelos_guardados,/models
Ver qué modelos ya grabé,Puedes ver todos los modelos que has grabado en la sección de modelos. Ahí está tu catálogo completo de gestos entrenados con opciones para gestionarlos. ¿Te muestro tus modelos guardados?,modelos_guardados,/models
Abrir contenido de un curso,"Para abrir el contenido de un curso específico, puedes acceder desde tu panel principal donde verás todos los cursos disponibles, o si conoces el nombre exacto, puedo llevarte directamente. ¿Qué curso te interesa o prefieres ver la lista completa?",cursos,/dashboard
Quiero entrar a la misión de geometría,"Te llevo a la misión de geometría donde encontrarás contenidos específicos, objetivos y ejercicios relacionados. Podrás continuar donde te quedaste y ver tu progreso en esta área. ¿Empezamos con geometría?",cursos,/courses/geometria
Ver misiones activas,"Tus misiones activas las puedes ver en tu panel principal, donde se muestran los cursos en progreso y las actividades recomendadas. Desde ahí puedes continuar con cualquier misión pendiente. ¿Revisamos tus misiones activas?",cursos,/dashboard
Mostrar curso de números enteros,"Te dirijo al curso de números enteros donde encontrarás lecciones específicas sobre este tema, ejercicios prácticos y seguimiento de tu progreso. ¿Empezamos con números enteros?",cursos,/courses/numeros-enteros
Abrir curso de álgebra básica,"Te llevo al curso de álgebra básica con contenidos introductorios, ejercicios progresivos y actividades interactivas. Podrás aprender paso a paso los conceptos fundamentales. ¿Comenzamos con álgebra?",cursos,/courses/algebra-basica
