input,output,category,confidence,source,original_index,converted_at
hola,¡Hola! Soy tu asistente de la plataforma educativa de matemáticas con gestos. ¿Te gustaría conocer cómo funciona nuestra cámara para reconocer números con las manos?,greeting,1.0,comprehensive_training,0,2025-09-29T15:47:00.536605
buenos días,"¡Buenos días! Bienvenido a nuestra plataforma de aprendizaje matemático interactivo. Tenemos aritmética, álgebra, geometría y más, todo con reconocimiento de gestos.",greeting,1.0,comprehensive_training,1,2025-09-29T15:47:00.536658
buenas tardes,¡Buenas tardes! Esta plataforma te enseña matemáticas usando tu cámara para reconocer gestos de manos. ¿Prefieres empezar con sumas básicas o algo más avanzado?,greeting,1.0,comprehensive_training,2,2025-09-29T15:47:00.536691
hey,¡Hey! Estás en la plataforma educativa más innovadora. Aquí aprendes matemáticas moviendo las manos frente a la cámara. ¿Quieres probar el entrenamiento de gestos?,greeting,1.0,comprehensive_training,3,2025-09-29T15:47:00.536724
saludos,¡Saludos! Soy el chatbot de esta plataforma educativa especializada en matemáticas con reconocimiento de gestos. ¿Te interesa saber cómo entrenar números con tus manos?,greeting,1.0,comprehensive_training,4,2025-09-29T15:47:00.536757
qué tal,¡Hola! Esta plataforma combina inteligencia artificial con educación matemática. Usas gestos de manos para resolver operaciones. ¿Empezamos con el tutorial?,greeting,1.0,comprehensive_training,5,2025-09-29T15:47:00.536781
buenas,¡Buenas! Bienvenido a la plataforma donde las matemáticas se aprenden con gestos. Tu cámara reconoce números del 0 al 9 con las manos. ¿Quieres ver cómo funciona?,greeting,1.0,comprehensive_training,6,2025-09-29T15:47:00.536802
hola bot,"¡Hola! Soy el asistente de esta plataforma educativa única. Aquí no usas calculadora, ¡usas tus manos! La cámara reconoce tus gestos y resuelve operaciones matemáticas.",greeting,1.0,comprehensive_training,7,2025-09-29T15:47:00.536823
empezar,"¡Perfecto! Para empezar, puedes ir al panel principal (/dashboard), entrenar gestos (/arithmetic) o explorar nuestros cursos. ¿Qué te interesa más?",greeting,1.0,comprehensive_training,8,2025-09-29T15:47:00.536843
comenzar,"¡Excelente! Esta plataforma tiene todo lo que necesitas: entrenamiento de gestos, cursos interactivos, seguimiento de progreso y más. ¿Por dónde quieres comenzar?",greeting,1.0,comprehensive_training,9,2025-09-29T15:47:00.536862
qué es esta plataforma,Esta es una plataforma educativa revolucionaria que enseña matemáticas usando reconocimiento de gestos con tu cámara. Muestras números con las manos y la IA los reconoce para resolver operaciones. Visita la página de inicio (/) para conocer más detalles.,landing_page,1.0,comprehensive_training,10,2025-09-29T15:47:00.536890
qué puedo hacer aquí,"Aquí puedes: entrenar gestos de números (0-9), resolver operaciones matemáticas con las manos, tomar cursos interactivos, ver tu progreso, y experimentar con inteligencia artificial educativa. Todo desde la comodidad de tu navegador.",landing_page,1.0,comprehensive_training,11,2025-09-29T15:47:00.536917
explícame de qué trata,"Se trata de una plataforma innovadora que combina matemáticas con tecnología de reconocimiento de gestos. En lugar de usar calculadora, muestras números con tus dedos y la cámara los reconoce. Es ideal para hacer las matemáticas más divertidas y accesibles.",landing_page,1.0,comprehensive_training,12,2025-09-29T15:47:00.536946
muéstrame la portada,"La portada está en la página de inicio (/) donde encontrarás la presentación completa de la plataforma, sus beneficios, testimonios de usuarios y cómo empezar tu experiencia de aprendizaje interactivo.",landing_page,1.0,comprehensive_training,13,2025-09-29T15:47:00.536969
quiero empezar,"¡Perfecto! Para empezar: 1) Ve a la página de inicio (/), 2) Regístrate en /auth, 3) Accede a tu panel (/dashboard), 4) Comienza entrenando gestos en /arithmetic. ¡Es muy fácil!",landing_page,1.0,comprehensive_training,14,2025-09-29T15:47:00.536991
enséñame la página principal,"La página principal (/) te muestra todo lo que puedes hacer: entrenar gestos, tomar cursos, ver progreso y más. Es tu punto de partida perfecto para descubrir todas las funcionalidades de la plataforma.",landing_page,1.0,comprehensive_training,15,2025-09-29T15:47:00.537015
cuál es el propósito de esta aplicación,"El propósito es revolucionar la educación matemática haciéndola visual, interactiva y divertida. Usamos inteligencia artificial para reconocer gestos de manos y convertir el aprendizaje en una experiencia inmersiva y práctica.",landing_page,1.0,comprehensive_training,16,2025-09-29T15:47:00.537040
