session_id,timestamp,max_features,max_length,embedding_dim,lstm_units,dropout_rate,batch_size,epochs,learning_rate,validation_split,use_trae_optimization,use_trae_augmentation,use_trae_validation,model_type
session_20250929_153754,2025-09-29T15:37:54.486760,10000,100,128,64,0.5,32,50,0.001,0.2,True,False,False,tensorflow
session_20250929_153754,2025-09-29T15:37:54.536619,10000,100,128,64,0.5,32,50,0.001,0.2,True,True,True,tensorflow
session_20250929_153754,2025-09-29T15:37:54.578755,10000,100,128,64,0.5,32,50,0.001,0.2,True,False,False,tensorflow
session_20250929_153754,2025-09-29T15:37:54.579619,10000,100,128,64,0.5,32,50,0.001,0.2,True,False,False,tensorflow
session_20250929_153754,2025-09-29T15:37:54.580394,10000,100,128,64,0.5,32,50,0.001,0.2,True,False,False,tensorflow
session_20250929_153754,2025-09-29T15:37:54.581090,10000,100,128,64,0.5,32,50,0.001,0.2,True,False,False,tensorflow
session_20250929_153754,2025-09-29T15:37:54.581634,10000,100,128,64,0.5,32,50,0.001,0.2,True,False,False,tensorflow
session_20250929_153754,2025-09-29T15:37:54.582274,10000,100,128,64,0.5,32,50,0.001,0.2,True,False,False,tensorflow
session_20250929_153754,2025-09-29T15:37:54.582875,10000,100,128,64,0.5,32,50,0.001,0.2,True,False,False,tensorflow
session_20250929_153754,2025-09-29T15:37:54.583471,10000,100,128,64,0.5,32,50,0.001,0.2,True,False,False,tensorflow
session_20250929_153754,2025-09-29T15:37:54.584230,10000,100,128,64,0.5,32,50,0.001,0.2,True,False,False,tensorflow
session_20250929_153754,2025-09-29T15:37:54.584947,10000,100,128,64,0.5,32,50,0.001,0.2,True,False,False,tensorflow
session_20250929_153849,2025-09-29T15:38:49.427740,10000,100,128,64,0.5,32,50,0.001,0.2,True,True,True,tensorflow
session_20250929_161923,2025-09-29T16:19:23.892928,10000,100,128,64,0.5,32,50,0.001,0.2,True,True,True,tensorflow
session_20250929_162446,2025-09-29T16:24:46.888829,10000,100,128,64,0.5,32,50,0.001,0.2,True,True,True,tensorflow
session_20250929_163358,2025-09-29T16:33:58.754387,10000,100,128,64,0.5,32,50,0.001,0.2,True,True,True,tensorflow
session_20250929_164527,2025-09-29T16:45:27.077001,10000,100,128,64,0.5,32,50,0.001,0.2,True,True,True,tensorflow
session_20250929_190011,2025-09-29T19:00:11.689944,10000,100,128,64,0.5,32,50,0.001,0.2,True,True,True,tensorflow
session_20250929_201248,2025-09-29T20:12:48.741445,10000,100,128,64,0.5,32,50,0.001,0.2,True,True,True,tensorflow
session_20250929_203151,2025-09-29T20:31:51.583401,10000,100,128,64,0.5,32,50,0.001,0.2,True,True,True,tensorflow
