id,text,intent,category,response,confidence,created_at,updated_at,source
integrated_dataset_2025-09-29T16:19:23.890115_0,hola,greeting,greeting,¡Hola! Soy tu asistente de la plataforma educativa de matemáticas con gestos. ¿Te gustaría conocer cómo funciona nuestra cámara para reconocer números con las manos?,0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_1,buenos días,greeting,greeting,"¡Buenos días! Bienvenido a nuestra plataforma de aprendizaje matemático interactivo. Tenemos aritmética, álgebra, geometría y más, todo con reconocimiento de gestos.",0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_2,buenas tardes,greeting,greeting,¡Buenas tardes! Esta plataforma te enseña matemáticas usando tu cámara para reconocer gestos de manos. ¿Prefieres empezar con sumas básicas o algo más avanzado?,0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_3,hey,greeting,greeting,¡Hey! Estás en la plataforma educativa más innovadora. Aquí aprendes matemáticas moviendo las manos frente a la cámara. ¿Quieres probar el entrenamiento de gestos?,0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_4,saludos,greeting,greeting,¡Saludos! Soy el chatbot de esta plataforma educativa especializada en matemáticas con reconocimiento de gestos. ¿Te interesa saber cómo entrenar números con tus manos?,0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_5,qué tal,greeting,greeting,¡Hola! Esta plataforma combina inteligencia artificial con educación matemática. Usas gestos de manos para resolver operaciones. ¿Empezamos con el tutorial?,0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_6,buenas,greeting,greeting,¡Buenas! Bienvenido a la plataforma donde las matemáticas se aprenden con gestos. Tu cámara reconoce números del 0 al 9 con las manos. ¿Quieres ver cómo funciona?,0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_7,hola bot,greeting,greeting,"¡Hola! Soy el asistente de esta plataforma educativa única. Aquí no usas calculadora, ¡usas tus manos! La cámara reconoce tus gestos y resuelve operaciones matemáticas.",0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_8,empezar,greeting,greeting,"¡Perfecto! Para empezar, puedes ir al panel principal (/dashboard), entrenar gestos (/arithmetic) o explorar nuestros cursos. ¿Qué te interesa más?",0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_9,comenzar,greeting,greeting,"¡Excelente! Esta plataforma tiene todo lo que necesitas: entrenamiento de gestos, cursos interactivos, seguimiento de progreso y más. ¿Por dónde quieres comenzar?",0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_10,qué es esta plataforma,landing_page,landing_page,Esta es una plataforma educativa revolucionaria que enseña matemáticas usando reconocimiento de gestos con tu cámara. Muestras números con las manos y la IA los reconoce para resolver operaciones. Visita la página de inicio (/) para conocer más detalles.,0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_11,qué puedo hacer aquí,landing_page,landing_page,"Aquí puedes: entrenar gestos de números (0-9), resolver operaciones matemáticas con las manos, tomar cursos interactivos, ver tu progreso, y experimentar con inteligencia artificial educativa. Todo desde la comodidad de tu navegador.",0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_12,explícame de qué trata,landing_page,landing_page,"Se trata de una plataforma innovadora que combina matemáticas con tecnología de reconocimiento de gestos. En lugar de usar calculadora, muestras números con tus dedos y la cámara los reconoce. Es ideal para hacer las matemáticas más divertidas y accesibles.",0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_13,muéstrame la portada,landing_page,landing_page,"La portada está en la página de inicio (/) donde encontrarás la presentación completa de la plataforma, sus beneficios, testimonios de usuarios y cómo empezar tu experiencia de aprendizaje interactivo.",0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_14,quiero empezar,landing_page,landing_page,"¡Perfecto! Para empezar: 1) Ve a la página de inicio (/), 2) Regístrate en /auth, 3) Accede a tu panel (/dashboard), 4) Comienza entrenando gestos en /arithmetic. ¡Es muy fácil!",0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_15,enséñame la página principal,landing_page,landing_page,"La página principal (/) te muestra todo lo que puedes hacer: entrenar gestos, tomar cursos, ver progreso y más. Es tu punto de partida perfecto para descubrir todas las funcionalidades de la plataforma.",0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_16,cuál es el propósito de esta aplicación,landing_page,landing_page,"El propósito es revolucionar la educación matemática haciéndola visual, interactiva y divertida. Usamos inteligencia artificial para reconocer gestos de manos y convertir el aprendizaje en una experiencia inmersiva y práctica.",0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_17,qué me ofrece este sistema,landing_page,landing_page,"Te ofrece: aprendizaje visual de matemáticas, reconocimiento de gestos en tiempo real, cursos estructurados, seguimiento de progreso personalizado, experiencia sin calculadora, y una forma innovadora de entender los números.",0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_18,cuál es la página de inicio,landing_page,landing_page,"La página de inicio es (/) donde encontrarás la bienvenida, presentación de la plataforma, beneficios, cómo funciona, testimonios y acceso directo a registro y login para comenzar tu experiencia.",0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_19,quiero ver la bienvenida,landing_page,landing_page,"La bienvenida completa está en la página de inicio (/) con una presentación visual de cómo funciona la plataforma, sus beneficios únicos y guías paso a paso para nuevos usuarios.",0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_20,dime los beneficios,landing_page,landing_page,"Los beneficios son: aprendizaje visual e interactivo, no necesitas calculadora, desarrollas coordinación mano-ojo, las matemáticas se vuelven divertidas, tienes seguimiento de progreso, experimentas con IA, y aprendes a tu ritmo.",0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_21,por qué debería usar esto,landing_page,landing_page,"Deberías usarlo porque transforma las matemáticas de aburridas a emocionantes, te permite aprender con gestos naturales, desarrolla habilidades tecnológicas, es accesible desde cualquier dispositivo, y hace el aprendizaje más memorable.",0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_22,cómo funciona esto,landing_page,landing_page,"Funciona así: 1) Activas tu cámara, 2) Muestras números con los dedos (0-9), 3) La IA reconoce tus gestos automáticamente, 4) Resuelves operaciones matemáticas, 5) Recibes feedback inmediato. ¡Todo en tiempo real!",0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_23,qué me enseña esta aplicación,landing_page,landing_page,"Te enseña matemáticas de forma revolucionaria: aritmética básica, operaciones con gestos, reconocimiento de patrones, coordinación visual-motora, y cómo la tecnología puede mejorar el aprendizaje tradicional.",0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_24,dame una presentación general,landing_page,landing_page,"Esta es una plataforma educativa única que combina matemáticas con inteligencia artificial. Usas gestos de manos para representar números, la cámara los reconoce, y puedes resolver operaciones de forma visual e interactiva. Incluye cursos, progreso personalizado y herramientas avanzadas.",0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_25,qué es esto,platform_info,platform_info,"Esta es una plataforma educativa revolucionaria que enseña matemáticas usando reconocimiento de gestos con tu cámara. Muestras números con las manos y la IA los reconoce para resolver operaciones. Es perfecta para estudiantes, docentes y cualquiera que quiera aprender de forma interactiva.",0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_26,para qué sirve,platform_info,platform_info,"Sirve para aprender y practicar matemáticas de forma interactiva usando gestos de manos. Es perfecta para estudiantes que quieren una experiencia visual, docentes que buscan herramientas innovadoras, y padres que quieren ayudar a sus hijos con las matemáticas.",0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_27,qué contiene,platform_info,platform_info,"Contiene: entrenamiento de gestos para números 0-9, operaciones matemáticas (suma, resta, multiplicación), cursos estructurados, panel de progreso, modelos de IA guardados, y herramientas de administración. Todo optimizado para móvil y escritorio.",0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_28,para quién es,platform_info,platform_info,"Es para estudiantes de todas las edades, docentes innovadores, padres que quieren ayudar con las tareas, y cualquier persona curiosa por experimentar con tecnología educativa y reconocimiento de gestos.",0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_29,características,platform_info,platform_info,"Las características principales son: reconocimiento de gestos en tiempo real, cursos interactivos, entrenamiento personalizado, interfaz moderna y responsive, seguimiento de progreso, múltiples niveles de dificultad, y integración con cámara web.",0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_30,necesito iniciar sesión,authentication,authentication,"Para iniciar sesión dirígete a /auth donde encontrarás el formulario de login. Ingresa tu email y contraseña, o usa nuestras opciones de autenticación avanzada si las tienes configuradas.",0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_31,entrar a mi cuenta,authentication,authentication,"Para entrar a tu cuenta ve a /auth, ingresa tus credenciales en el formulario de inicio de sesión, y accederás directamente a tu panel personalizado con todo tu progreso guardado.",0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_32,no sé cómo acceder,authentication,authentication,"¡Te ayudo! Para acceder: 1) Ve a /auth, 2) Si tienes cuenta, usa 'Iniciar Sesión', 3) Si no tienes cuenta, selecciona 'Registrarse', 4) Completa el formulario y listo.",0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_33,dónde me registro,authentication,authentication,"El registro está en la sección de autenticación (/auth). Ahí encontrarás el formulario para crear tu cuenta nueva con email, contraseña y datos básicos. Es muy rápido y sencillo.",0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_34,cómo puedo crear una cuenta,authentication,authentication,"Para crear una cuenta: 1) Ve a /auth, 2) Selecciona 'Registrarse', 3) Completa el formulario con email y contraseña, 4) Confirma tu registro, 5) ¡Ya puedes empezar a aprender!",0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
integrated_dataset_2025-09-29T16:19:23.890115_35,haz que inicie sesión,authentication,authentication,"Te dirijo al inicio de sesión: ve a /auth, ingresa tu email y contraseña en el formulario correspondiente, y accederás a tu panel personalizado con todos tus cursos y progreso.",0.8,2025-09-29T16:19:23.890115,2025-09-29T16:19:23.890115,integrated_dataset
